,url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
0,https://clubedemilhagem.com/home.php,36,19,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,15,3,15,15,4,7.333333333,15.0,3.5,0,0,0,0,0,0,14,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,0,344,21,0,0,1,0,phishing
1,http://www.medicalnewstoday.com/articles/188939.php,51,24,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.117647059,0.0,0,0,0,0,0,3,0,0,0,0,2,0,5,4,3,3,3,16,16,8,7.2,9.5,5.666666667,0,0,0,0,0,0,80,0.575,0.425,0,0,0,0.352941176,0,0.205882353,0,1,15.38461538,0,50.0,50.0,0,0,0,33.33333333,0,0,0,1,1,0,103,6106,737,0,1,6,legitimate
2,https://en.wikipedia.org/wiki/NBC_Nightly_News,46,16,0,2,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,2,2,3,9,9,7,4.833333333,5.5,4.5,0,1,0,0,0,0,710,0.93943662,0.06056338,0,0,0,0.372093023,0,0.186046512,0,0,100.0,0,100.0,0.0,0,0,0,70.34482759,0,0,0,0,1,0,901,7134,12,0,0,7,legitimate
3,http://secure.web894.com/customer_center/customer-IDPP00C139/myaccount/identity/?cmd=_session=&amp;02df5c40bef38f0b3d11339b7beab5d8&amp;dispatch=ecb2f39f76aef328f62cfcea40da0211815e207f,185,17,1,2,1,0,1,2,0,3,2,0,0,7,0,1,0,2,0,0,0,0,0,0,1,0.254054054,0.176470588,0,0,0,0,0,2,1,0,0,0,0,0,13,7,3,6,3,40,6,40,12.23076923,6.0,13.36363636,1,0,0,0,0,0,28,0.892857143,0.107142857,0,1,0,0.0,0,0.0,0,1,87.5,0,0.0,0.0,0,0,0,100.0,0,0,0,1,1,0,247,1944,0,0,1,0,phishing
4,https://en.wikipedia.org/wiki/Transaction_processing,52,16,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,2,2,4,11,9,11,7.2,5.5,8.333333332999999,0,1,0,0,0,0,275,0.952727273,0.047272727,0,0,0,0.538461538,0,0.076923077,0,0,100.0,0,100.0,0.0,0,0,0,69.04761905,0,0,0,0,1,0,901,7134,12,0,0,7,legitimate
5,http://weshop.co.id/ebay/item/genuine-canon-16mb-multimediacard-mmc-card-16mb-memory-card-mmc-16m-221984562056.html,115,12,1,3,11,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.156521739,0.0,0,0,0,0,0,3,0,0,0,0,2,0,16,3,3,6,3,14,6,14,5.4375,6.0,5.4,0,0,0,0,0,0,54,0.87037037,0.12962963,0,1,0,0.0,0,0.285714286,0,1,82.35294118,0,100.0,0.0,0,0,0,100.0,0,0,0,0,1,0,231,134,4970516,0,1,2,legitimate
6,http://www.geolocaliz.com/en/time/south-america/trinidad-and-tobago-port-of-spain/,82,18,0,2,6,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,0,0,1,0,12,3,2,3,2,10,10,8,4.916666667,6.5,4.6,0,0,0,0,0,0,129,0.697674419,0.302325581,0,5,0,0.051282051,0,0.0,0,1,48.48484848,0,96.15384615,3.846153846,0,0,0,8.333333332999999,0,0,0,0,1,0,347,4401,0,0,0,2,legitimate
7,http://www.teseesays.com/workupdtes/Support/ID-NUMB878/myaccount/signin,71,17,0,2,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0.042253521,0.0,0,0,0,0,0,2,1,0,0,0,1,0,8,6,2,3,2,10,9,10,6.625,6.0,6.833333333,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,228,502,7105475,0,1,3,phishing
8,https://www.secureupdate.appleld.com.duilawyeryork.com/ap/152754cc0f88cd0/?cmd=_update&dispatch=152754cc0f88cd081&locale=_US,124,46,1,5,0,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,1,1,0,0,0,0.177419355,0.0,0,0,0,1,0,3,0,0,0,0,0,0,13,8,2,3,2,17,13,17,7.461538462,7.6,7.375,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,25,3993,5707171,0,1,0,phishing
9,https://support-appleld.com.secureupdate.duilawyeryork.com/ap/f52571782528b76/?cmd=_update&dispatch=f52571782528b7695&locale=_,126,50,1,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0.222222222,0.0,0,0,0,1,0,3,1,0,0,0,0,0,12,2,2,3,2,17,13,17,8.25,8.4,8.142857142999999,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,25,3993,5707171,0,1,0,phishing
